Ticker,Ticker_name,Category,Date,model_score_mtd_change,current_model_score,previous_model_score
MSCI,MSCI INC.,Financials,2026-02-10,122.0,22.0,-100.0
CMI,CUMMINS INC.,Industrials,2026-02-10,120.0,62.0,-58.0
AMAT,"APPLIED MATERIALS, INC.",Information Technology,2026-02-10,118.0,65.0,-53.0
URNM,SPROTT URANIUM MINERS,MR Discretion,2026-02-10,115.0,55.0,-60.0
GOOGL,ALPHABET INC.,Communication Services,2026-02-10,108.0,86.0,-22.0
EA,ELECTRONIC ARTS INC.,Communication Services,2026-02-10,107.0,65.0,-42.0
EXPD,EXPEDITORS INTERNATIONAL OF WASHINGTON,Industrials,2026-02-10,103.0,69.0,-34.0
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2026-02-10,102.0,84.0,-18.0
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-02-10,95.0,50.0,-45.0
NTRS,NORTHERN TRUST ,Financials,2026-02-10,93.0,26.0,-67.0
