Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,ChaseScore,model_score
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-02-10,0.0038,0.0051,0.0054,0.0019,2.0175,2.0188,25.0
XLB,SEL SECTOR:MATRLS SPDR,Sector & Style ETFs,2026-02-10,0.023,0.0401,0.0038,0.0009,0.9971,1.0142,-14.0
ROST,"ROSS STORES, INC.",Consumer Discretionary,2026-02-10,0.0041,0.0387,0.0035,0.0016,0.8192,0.8538,20.0
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-02-10,0.0035,0.0055,0.0077,0.0017,0.7606,0.7626,25.0
ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,2026-02-10,0.0084,0.0723,0.0002,0.0014,0.6147,0.6785,43.0
JNJ,JOHNSON & JOHNSON,Health Care,2026-02-10,0.0262,0.0485,0.0009,0.0019,0.604,0.6264,19.0
D,"DOMINION ENERGY, INC.",Utilities,2026-02-10,0.0132,0.0396,0.0019,0.007,0.555,0.5814,-8.0
EWG,ISHARES:MSCI GERMANY,Foreign,2026-02-10,0.0022,0.0023,0.004,0.0007,0.5805,0.5806,38.0
CTAS,CINTAS ,Industrials,2026-02-10,0.0048,0.014,0.0058,0.0037,0.55,0.5592,-7.0
LDOS,"LEIDOS HOLDINGS, INC.",Industrials,2026-02-10,-0.0026,0.0191,0.0014,0.0026,0.5332,0.5549,29.0
