Date,Ticker,Ticker_name,Category,Close,lt_pt_sm,change_pct,Ivol,rvol,prem_disc,model_score,Spread_Quad,rating,day_rr_ratio,week_rr_ratio,month_rr_ratio,day_pr_low,day_pr_high,week_pr_low,week_pr_high,month_pr_low,month_pr_high,day_dn,day_up,week_dn,week_up,month_dn,month_up
2025-12-30,A,"AGILENT TECHNOLOGIES, INC.",Health Care,137.62,155.18,0.1276,0.2322,0.17868346,0.2995047219255773,30.0,1,Buy,-1.5254237288135652,1.2329059829059803,3.3484162895927567,133.12,140.57,128.26,149.16,126.57,174.62,-0.032698735648888255,0.021435837814271164,-0.06801337014968767,0.08385409097514884,-0.08029356198227011,0.26885627089085884
2025-12-30,AAPL,APPLE INC.,Information Technology,273.08,295.22,0.0811,0.2171,0.12078913,0.7973471619507484,17.0,1,Neutral,-1.332661290322562,1.3305941845764868,1.5566767574840243,266.47,278.04,257.26,294.13,243.35,319.36,-0.02420536106635407,0.018163175626190187,-0.05793174161417902,0.07708363849421418,-0.10886919584004684,0.16947414677017725
2025-12-30,ABBV,ABBVIE INC.,Health Care,229.74,244.37,0.0637,0.2808,0.17361949,0.6173299437753217,-4.0,1,Neutral,1.216867469879514,-1.164170506912444,1.2246326102169345,224.76,235.8,209.53,247.1,201.16,264.74,-0.0216766779838079,0.026377644293549274,-0.08796900844432842,0.07556368068251063,-0.12440149734482464,0.1523461304082876
2025-12-30,ABNB,"AIRBNB, INC.",Consumer Discretionary,136.91,126.25,-0.0779,0.245,0.18438241,0.32876015667655056,-53.0,1,Sell,5.214285714285746,1.277286135693216,-4.174157303370783,135.65,143.48,126.74,149.9,99.76,145.81,-0.00920312614126062,0.04798772916514493,-0.07428237528303261,0.09487984807537808,-0.27134613979986844,0.06500620845811111
2025-12-30,ABT,ABBOTT LABORATORIES,Health Care,125.78,133.63,0.0624,0.2419,0.17338137,0.3951902675587349,57.0,1,Buy,-1.092783505154639,-1.4195933456561944,1.4099821746880565,121.54,129.66,118.1,131.19,114.56,141.6,-0.03370965177293683,0.030847511528064864,-0.06105899189060271,0.04301160756877076,-0.08920337096517728,0.1257751629829862
2025-12-30,ACGL,ARCH CAPITAL GROUP LTD.,Financials,96.66,98.4,0.018,0.1955,0.13023446,0.501138792298137,-49.0,1,Sell,1.45739910313902,1.3084260731319577,-1.7173913043478253,94.43,99.91,90.37,104.89,80.86,105.86,-0.023070556590109592,0.033623008483343764,-0.06507345334160963,0.08514380302089797,-0.16345954893440928,0.09517897786054208
2025-12-30,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,270.0,264.83,-0.0191,0.2352,0.22465604,0.046933792654762385,-36.0,1,Sell,1.5950095969289895,2.266300078554594,-2.233277591973242,264.79,278.31,257.27,298.85,216.58,293.92,-0.019296296296296256,0.030777777777777793,-0.04714814814814816,0.10685185185185198,-0.19785185185185183,0.08859259259259256
2025-12-30,ADBE,ADOBE INC.,Information Technology,352.51,325.24,-0.0774,0.2427,0.25073785,-0.032056787597085856,-77.0,3,Sell,2.600000000000014,1.3436853002070401,-3.246147438567265,347.61,365.25,328.36,384.96,274.57,376.52,-0.013900314884684017,0.03614081870017882,-0.06850869478880028,0.09205412612408148,-0.22110011063515933,0.06811154293495214
2025-12-30,ADI,"ANALOG DEVICES, INC.",Information Technology,274.82,287.32,0.0455,0.2693,0.19382774,0.3893780116303269,6.0,1,Neutral,1.5028409090909227,1.4939759036144589,-1.6159117997616206,271.3,280.11,246.6,316.98,220.59,308.38,-0.012808383669310808,0.01924896295757228,-0.10268539407612254,0.15340950440288204,-0.19732916090531982,0.12211629430172488
2025-12-30,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,58.17,57.97,-0.0034,0.2075,0.1927959,0.0762677007135526,64.0,1,Buy,-1.5233644859813105,-1.2455089820359306,1.0256684491978612,56.54,59.24,54.01,61.51,48.82,67.76,-0.028021316829981102,0.018394361354650224,-0.07151452638817268,0.05741791301358079,-0.16073577445418608,0.16486161251504217
