Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-02-11,WFC,WELLS FARGO & COMPANY,91.91,-0.0285,88.68,97.61,1.7647058823529476,84.0,106.0
2026-02-11,GS,"THE GOLDMAN SACHS GROUP, INC.",948.99,0.0057,881.5,960.47,-5.878919860627169,54.0,88.0
2026-02-11,AON,AON PLC,317.92,0.0244,304.84,357.72,3.0428134556574835,48.0,77.0
2026-02-11,CBOE,"CBOE GLOBAL MARKETS, INC.",274.07,-0.0242,260.36,288.25,1.0342815463165593,38.0,74.0
2026-02-11,BDX,"BECTON, DICKINSON AND COMPANY",171.68,-0.1722,174.23,217.45,,25.0,66.0
2026-02-11,CPT,CAMDEN PROPERTY TRUST,110.41,0.0235,103.63,110.76,-19.3714285714281,-25.0,-63.0
2026-02-11,AFL,AFLAC INC.,115.88,0.0237,111.04,123.41,1.5557851239669458,-65.0,-64.0
2026-02-11,HAS,"HASBRO, INC.",104.0,0.0748,94.01,104.4,-24.974999999999632,-37.0,-66.0
2026-02-11,ECH,ISHARES:MSCI CHILE,44.54,-0.0353,43.68,47.77,3.755813953488379,-16.0,-67.0
2026-02-11,DD,"DUPONT DE NEMOURS, INC.",49.43,0.0495,45.81,50.11,-5.323529411764705,-35.0,-77.0
