Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,ChaseScore,model_score
VAL,VALARIS LIMITED,MR Discretion,2026-02-10,0.1072,0.0663,0.019,0.0406,-0.5252,-0.5661,-12.0
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2026-02-10,0.098,0.0649,0.0146,0.0118,-0.5133,-0.5464,5.0
DGX,QUEST DIAGNOSTICS INC.,Health Care,2026-02-10,0.0231,0.0198,0.0155,0.0097,-0.3712,-0.3745,-30.0
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-02-10,0.0665,0.0048,0.0158,0.0162,-0.2677,-0.3294,-27.0
HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",MR Discretion,2026-02-10,0.0616,0.0436,0.0069,0.0092,-0.1189,-0.1369,-27.0
EIX,EDISON INTERNATIONAL,Utilities,2026-02-10,0.0153,0.0131,0.0056,0.0012,-0.0876,-0.0897,-10.0
LII,LENNOX INTERNATIONAL INC.,Industrials,2026-02-10,0.0095,0.0043,0.0074,0.0074,-0.0748,-0.08,-36.0
CLX,THE CLOROX COMPANY,Consumer Staples,2026-02-10,0.0305,0.0275,0.0044,0.0096,-0.0676,-0.0705,-27.0
FTNT,"FORTINET, INC.",Information Technology,2026-02-10,0.037,0.0142,0.0086,0.0,-0.0448,-0.0675,-57.0
STNG,SCORPIO TANKERS INC.,MR Discretion,2026-02-10,0.0394,0.0256,0.002,0.0012,-0.0091,-0.0228,-36.0
