Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-02-11,GOOGL,ALPHABET INC.,318.58,-0.0133,293.07,369.91,2.01215209721678,86.0,66.0
2026-02-11,MSFT,MICROSOFT ,413.27,0.0302,358.58,455.71,-1.2886427898209236,85.0,58.0
2026-02-11,WFC,WELLS FARGO & COMPANY,91.91,-0.0219,84.0,103.86,1.5107458912768656,84.0,40.0
2026-02-11,QQQ,INVESCO QQQ TRUST 1,611.47,0.003,566.17,658.59,1.0401766004414996,84.0,84.0
2026-02-11,SMH,VANECK:SEMICONDUCTOR,404.76,0.0077,360.88,448.72,1.0018231540565188,74.0,68.0
2026-02-11,DOV,DOVER ,229.48,0.026,199.3,247.56,-1.669247787610617,-81.0,-57.0
2026-02-11,PEP,"PEPSICO, INC.",166.97,-0.0206,149.22,187.73,1.1695774647887318,-87.0,-85.0
2026-02-11,EQR,EQUITY RESIDENTIAL,65.57,0.0263,60.38,68.38,-1.8469750889679668,-91.0,-71.0
2026-02-11,DVA,DAVITA INC.,139.28,-0.011,106.92,181.57,1.306860321384425,-92.0,-57.0
2026-02-11,CAG,"CONAGRA BRANDS, INC.",19.33,-0.001,17.63,21.36,1.1941176470588246,-102.0,-75.0
