Ticker,Ticker_name,Category,Date,model_score_day_change,current_model_score,previous_model_score
DD,"DUPONT DE NEMOURS, INC.",Materials,2026-02-10,-77.0,-35.0,42.0
ECH,ISHARES:MSCI CHILE,Foreign,2026-02-10,-67.0,-16.0,51.0
HAS,"HASBRO, INC.",Consumer Discretionary,2026-02-10,-66.0,-37.0,29.0
AFL,AFLAC INC.,Financials,2026-02-10,-64.0,-65.0,-1.0
CPT,CAMDEN PROPERTY TRUST,Real Estate,2026-02-10,-63.0,-25.0,38.0
TRMB,TRIMBLE INC.,Information Technology,2026-02-10,-60.0,-32.0,28.0
DDOG,"DATADOG, INC.",Information Technology,2026-02-10,-55.0,-17.0,38.0
MAA,"MID-AMERICA APARTMENT COMMUNITIES, INC.",Real Estate,2026-02-10,-53.0,-45.0,8.0
FDS,FACTSET RESEARCH SYSTEMS INC.,Financials,2026-02-10,-52.0,0.0,52.0
ACGL,ARCH CAPITAL GROUP LTD.,Financials,2026-02-10,-51.0,-53.0,-2.0
