Ticker,Ticker_name,Category,Date,MT_Trend_Change
FI,"FISERV, INC.",Financials,2025-10-21,0.0577
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2025-10-21,0.0541
LKQ,LKQ ,Consumer Discretionary,2025-10-21,0.054
MOH,"MOLINA HEALTHCARE, INC.",Health Care,2025-10-21,0.051
OTIS,OTIS WORLDWIDE ,Industrials,2025-10-21,0.05
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2025-10-21,0.0417
TXN,TEXAS INSTRUMENTS INC.,Information Technology,2025-10-21,0.0381
IBM,INTERNATIONAL BUSINESS MACHINES ,Information Technology,2025-10-21,0.0376
HPE,HEWLETT PACKARD ENTERPRISE COMPANY,Information Technology,2025-10-21,0.0336
LMT,LOCKHEED MARTIN ,Industrials,2025-10-21,0.033
