Ticker,Ticker_name,Category,Date,model_score
GOOGL,ALPHABET INC.,Communication Services,2026-02-10,86.0
MSFT,MICROSOFT ,Information Technology,2026-02-10,85.0
QQQ,INVESCO QQQ TRUST 1,Sector & Style ETFs,2026-02-10,84.0
WFC,WELLS FARGO & COMPANY,Financials,2026-02-10,84.0
HWM,HOWMET AEROSPACE INC.,Industrials,2026-02-10,74.0
SMH,VANECK:SEMICONDUCTOR,Sector & Style ETFs,2026-02-10,74.0
CVNA,CARVANA CO.,Consumer Discretionary,2026-02-10,73.0
APH,AMPHENOL ,Information Technology,2026-02-10,71.0
TSLA,"TESLA, INC.",Consumer Discretionary,2026-02-10,71.0
DBB,INVESCO DB MS BMTL,Commodities,2026-02-10,69.0
