Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-02-11,YUM,"YUM! BRANDS, INC.",158.85,-0.025,148.84,172.0,1.3136863136863155,39.0,101.0
2026-02-11,CBOE,"CBOE GLOBAL MARKETS, INC.",274.07,0.0026,247.99,300.17,1.0007668711656457,38.0,94.0
2026-02-11,TTD,"THE TRADE DESK, INC.",28.13,0.0403,22.6,31.3,-1.744479495268137,50.0,85.0
2026-02-11,JBL,JABIL INC.,258.93,0.0026,224.71,290.07,-1.0989081567116255,23.0,85.0
2026-02-11,QQQ,INVESCO QQQ TRUST 1,611.47,0.003,566.17,658.59,1.0401766004414996,84.0,84.0
2026-02-11,PEP,"PEPSICO, INC.",166.97,-0.0206,149.22,187.73,1.1695774647887318,-87.0,-85.0
2026-02-11,ERIE,ERIE INDEMNITY COMPANY,278.64,-0.0315,257.43,305.03,1.2442244224422447,-81.0,-87.0
2026-02-11,THD,ISHARES:MSCI THAI,68.43,0.0408,62.25,72.4,-1.5566750629722943,-51.0,-93.0
2026-02-11,AMT,AMERICAN TOWER ,178.51,0.0423,159.86,188.53,-1.8612774451097762,-74.0,-109.0
2026-02-11,HAS,"HASBRO, INC.",104.0,0.1083,88.89,112.73,-1.7308132875143176,-37.0,-113.0
