Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-02-11,DDOG,"DATADOG, INC.",129.67,0.1374,100.35,130.37,-41.885714285713256,-17.0,-55.0
2026-02-11,MAS,MASCO ,77.82,0.0867,69.6,79.11,-6.372093023255782,-41.0,-14.0
2026-02-11,MAR,"MARRIOTT INTERNATIONAL, INC.",359.35,0.085,319.36,359.96,-65.55737704918498,-28.0,-31.0
2026-02-11,HAS,"HASBRO, INC.",104.0,0.0748,94.01,104.4,-24.974999999999632,-37.0,-66.0
2026-02-11,DGX,QUEST DIAGNOSTICS INC.,205.35,0.0737,185.28,205.66,-64.74193548387048,-30.0,-44.0
2026-02-11,WDC,WESTERN DIGITAL ,262.56,-0.0819,256.56,310.57,8.001666666666665,-25.0,0.0
2026-02-11,INCY,INCYTE ,100.05,-0.0824,99.22,111.66,13.987951807228944,47.0,9.0
2026-02-11,RJF,"RAYMOND JAMES FINANCIAL, INC.",158.48,-0.0875,158.02,178.36,43.2173913043498,18.0,30.0
2026-02-11,SPGI,S&P GLOBAL INC.,401.08,-0.0971,378.59,466.94,2.9284126278345926,0.0,0.0
2026-02-11,BDX,"BECTON, DICKINSON AND COMPANY",171.68,-0.1722,174.23,217.45,,25.0,66.0
