Ticker,Ticker_name,Category,Date,wtd_return_pct
VAL,VALARIS LIMITED,MR Discretion,2026-02-10,0.2788
APP,APPLOVIN CORP,Information Technology,2026-02-10,0.1628
DDOG,"DATADOG, INC.",Information Technology,2026-02-10,0.161
ORCL,ORACLE ,Information Technology,2026-02-10,0.1195
Q,"QNITY ELECTRONICS, INC.",Information Technology,2026-02-10,0.1128
HAS,"HASBRO, INC.",Consumer Discretionary,2026-02-10,0.1083
CIEN,CIENA CORPORATION,Information Technology,2026-02-10,0.1009
TPL,TEXAS PACIFIC LAND ,Energy,2026-02-10,0.0972
VTRS,VIATRIS INC.,Health Care,2026-02-10,0.094
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-02-10,0.0791
